first_name,last_name,gender,department_program_name,current_university,year_get_phd,year_get_bs,phd_university,bs_university,num_articles,num_nature,num_cell,num_science,link_of_his_webpage
Howard,Berg,Male,Molecular and Cellular Biology,Harvard University,1964,1956,Harvard University ,California Institute of Technology ,170,20,5,4,https://www.mcb.harvard.edu/mcb/faculty/profile/howard-c-berg/
Daniel,Branton,Male,Molecular and Cellular Biology,Harvard University,1961,1954,"University of California, Berkeley ",Cornell University,156,9,4,8,https://www.mcb.harvard.edu/mcb/faculty/profile/daniel-branton/
Cox,David,Male,Molecular and Cellular Biology,Harvard University,2007,2000,Massachusetts Institute of Technology ,Harvard University,72,0,0,0,https://www.mcb.harvard.edu/mcb/faculty/profile/david-cox/
Denic,Vlad,Male,Molecular and Cellular Biology,Harvard University,N/A,N/A,N/A,N/A,,,,,
Dowling,John,Male,Molecular and Cellular Biology,Harvard University,1960,N/A,Harvard University ,Harvard University ,237,13,0,12,https://www.mcb.harvard.edu/mcb/faculty/profile/john-e-dowling/
Dulac,Catherine,Female,Molecular and Cellular Biology,Harvard University,1991,N/A,University of Paris,"Ecole Normale Sup_rieure, Paris",75,4,10,6,https://www.mcb.harvard.edu/mcb/faculty/profile/catherine-dulac/
Eddy,Sean,Male,Molecular and Cellular Biology,Harvard University,1991,1986,University of Colorado , California Institute of Technology,105,6,1,4,https://www.mcb.harvard.edu/mcb/faculty/profile/sean-eddy/
Erikson,Raymond,Male,Molecular and Cellular Biology,Harvard University,N/A,N/A,N/A,N/A,192,6,4,3,https://www.mcb.harvard.edu/mcb/faculty/profile/raymond-l-erikson/
Extavour,Cassandra,Female,Molecular and Cellular Biology,Harvard University,2000,1995,Universidad Auto_noma de Madrid ,University of Toronto ,43,0,0,0,https://www.mcb.harvard.edu/mcb/faculty/profile/cassandra-g-extavour/
Gaudet,Rachelle,Female,Molecular and Cellular Biology,Harvard University,1998,1993,Yale University ,Universite de Montreal ,91,2,2,1,https://www.mcb.harvard.edu/mcb/faculty/profile/rachelle-gaudet/
Guidotti,Guido,Male,Molecular and Cellular Biology,Harvard University,N/A,N/A,N/A,N/A,226,2,0,1,https://www.mcb.harvard.edu/mcb/faculty/profile/guido-guidotti/
Hensch,Takao,Male,Molecular and Cellular Biology,Harvard University,1996,N/A,"University of California, San Francisco",Harvard University,107,3,3,6,https://www.mcb.harvard.edu/mcb/faculty/profile/takao-hensch/
Hoekstra,Hopi,Female,Molecular and Cellular Biology,Harvard University,2000,N/A, the University of Washington,UC Berkeley,65,4,1,5,https://www.mcb.harvard.edu/mcb/faculty/profile/hopi-hoekstra/
Hunter,Craig,Male,Molecular and Cellular Biology,Harvard University,1990,N/A,University of Colorado,N/A,73,2,3,3,https://www.mcb.harvard.edu/mcb/faculty/profile/craig-p-hunter/
Kahne,Daniel,Male,Molecular and Cellular Biology,Harvard University,1988,1981,Columbia University,Cornell University,119,0,3,8,https://www.mcb.harvard.edu/mcb/faculty/profile/daniel-kahne/
