first_name,last_name,gender,department_program_name,current_university,year_get_phd,year_get_bs,phd_university,bs_university,num_articles,num_nature,num_cell,num_science,link_of_his_webpage
 Jawdat,Al-Bassam,M,Molecular & Cellular Biology,UC Davis,2004,1998,Scripps Research Institute,California State University Long Beach,18,0,1,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/14421
John,Albeck,M,Molecular & Cellular Biology,UC Davis,2007,2000,MIT,Cornell,21,1,3,2,http://biosci3.ucdavis.edu/Faculty/Profile/View/14465
F. Javier, Arsuaga,M,Molecular & Cellular Biology,UC Davis,2000,1993,Florida State University,Universidad de Zaragoza,13,1,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/14482
Enoch,Baldwin,M,Molecular & Cellular Biology,UC Davis,1989,1982,UC Berkeley,"State University of New York, Purchase",20,0,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/252
Sean, Burgess,W,Molecular & Cellular Biology,UC Davis,1993,1987,"Univeristy of California, San Franciso","University of Colorado, Boulder",25,0,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/243
Kenneth, Burtis,M,Molecular & Cellular Biology,UC Davis,1976,1985,Stanford University,UC Davis,4,0,0,1,http://biosci3.ucdavis.edu/Faculty/Profile/View/316
Judy,Callis,W,Molecular & Cellular Biology,UC Davis,1987,1977,Stanford University,Washington University,35,1,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/277
Marina ,Crowder,W,Molecular & Cellular Biology,UC Davis,2012,2007,UC Davis,UC Davis,3,1,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/14527
Bruce, Draper,M,Molecular & Cellular Biology,UC Davis,1995,1988,Univeristy of Washington,UC San Diego,23,0,1,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/14258
JoAnne, Engebrecht,W,Molecular & Cellular Biology,UC Davis,1986,1981,Scripps Institution of Oceanography,University of Washington,22,0,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/198
Andrew,Fisher,M,Molecular & Cellular Biology,UC Davis,1992,1987,Purdue Univeristy ,Purdue University,64,2,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/301
Christopher ,Fraser,M,Molecular & Cellular Biology,UC Davis,1999,1995,Univeristy of Sussex,University of Usssex,71,1,0,2,http://biosci3.ucdavis.edu/Faculty/Profile/View/369
Charles, S. Gasser,M,Molecular & Cellular Biology,UC Davis,1985,1978,Stanford University,UC Davis,21,0,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/217
Celina, Juliano,W,Molecular & Cellular Biology,UC Davis,2010,1997,University of Miami,Brown University,18,0,0,2,http://biosci3.ucdavis.edu/Faculty/Profile/View/14512
Ken ,Kaplan,M,Molecular & Cellular Biology,UC Davis,1994,1986,UC San Franciso,Haverford College,18,0,0,1,http://biosci3.ucdavis.edu/Faculty/Profile/View/227
Ian ,Korf,M,Molecular & Cellular Biology,UC Davis,1996,1989,Cornell University,Indiana University,45,1,0,1,http://biosci3.ucdavis.edu/Faculty/Profile/View/204
J. Clark, Lagarias,M,Molecular & Cellular Biology,UC Davis,1979,1975,UC Berkeley,UC Berkeley,64,0,0,1,http://biosci3.ucdavis.edu/Faculty/Profile/View/286
Walter ,Leal,M,Molecular & Cellular Biology,UC Davis,1990,1982,Tsukuba University,Universidade Federal de Pernambuco,89,0,0,1,http://biosci3.ucdavis.edu/Faculty/Profile/View/14180
Richard ,J. McKenney,M,Molecular & Cellular Biology,UC Davis,2010,2002,Columbia University,Xavier University,12,0,1,1,http://biosci3.ucdavis.edu/Faculty/Profile/View/14524
Francis,J Mc Nally,M,Molecular & Cellular Biology,UC Davis,1990,1984,UC Berkeley,Princeton Universsity,23,0,1,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/315
Richard ,Michelmore,M,Molecular & Cellular Biology,UC Davis,1979,1976,University of Cambridge,University of Cambridge,87,0,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/370
Mona ,Monfared,W,Molecular & Cellular Biology,UC Davis,2009,1998,UC Davis,UC Santa Cruz,8,0,0,0,http://biosci3.ucdavis.edu/Faculty/Profile/View/14528
Bruce ,M Applegate,M,Biological Sciences,Purdue,1997,1987,University of Tennessee,University of Tennessee,10,0,0,0,https://ag.purdue.edu/foodsci/Documents/cvs/applegab.pdf
EDWARD, BARTLETT,M,Biological Sciences,Purdue,1999,1992,University of Wisconsin-Madison,Haverford College,30,0,0,0,https://www.linkedin.com/in/ed-bartlett-39822429
XIMENA, BERNAL,W,Biological Sciences,Purdue,2007,1998,UT Austin,Universidad de Los Andes,14,0,0,0,https://www.bio.purdue.edu/lab/bernal/team/index.html
Sarah, Calve,W,Biological Sciences,Purdue,2006,2000,Cornell University,University of Michigan,17,0,0,0,https://engineering.purdue.edu/BME/People/ptProfile?resource_id=81861
IGNACIO ,CAMARILLO,M,Biological Sciences,Purdue,1996,1992,Wayne State University,St. Mary's College,7,0,0,0,https://www.bio.purdue.edu/people/faculty/faculty_files/160/cv_160.PDF
Nicholas, C. Carpita,M,Biological Sciences,Purdue,1977,1972,Colorado State University,Purdue University,44,1,0,1,https://ag.purdue.edu/btny/Documents/Carpita%20CV%202011.pdf
Henry, C. Chang,M,Biological Sciences,Purdue,1995,1991,UC Berkeley,Harvard College,15,0,0,0,https://www.bio.purdue.edu/people/faculty/faculty_files/180/cv_180.PDF
ALEXANDER,CHUBYKIN,M,Biological Sciences,Purdue,2006,1998,University of Texas Southwestern Medical Center,Moscow Institute of Physics and Technolog,9,0,0,0,https://www.bio.purdue.edu/lab/chubykin/curriculum-vitae.html
Laszlo, N. Csonka ,M,Biological Sciences,Purdue,1979,1969,Harvard University ,State University of New York at Buffalo,18,0,0,1,
QING, DENG,W,Biological Sciences,Purdue,2009,2003,Medical College of Wisconsin,Fudan University,75,1,0,0,https://www.bio.purdue.edu/lab/deng/docs/Qing-Deng-CV-2015.pdf
DAVID,EICHINGER,M,Biological Sciences,Purdue,1992,1978,Michigan State University,Colgate University,4,1,0,0,http://www.edci.purdue.edu/faculty_profiles/eichinger/
NANCY, EMERY,W,Biological Sciences,Purdue,2006,1995,UC Davis,Brown University,13,0,0,0,
ESTEBAN ,FERNANDEZ- JURICIC,M,Biological Sciences,Purdue,2001,1995,Univeristy of Oxford,University of Cordoba,32,2,0,0,http://estebanfj.bio.purdue.edu/EFJ_CV.pdf
ALAN, M. FRIEDMAN,M,Biological Sciences,Purdue,1989,1981,Harvard University ,Yale University,20,0,0,0,https://www.purdue.edu/aging/documents/vita/AlanFriedman-2011.pdf
STANTON,Bruce GELVIN,M,Biological Sciences,Purdue,1977,1970,UC San Diego,Columbia University,47,1,0,0,https://www.bio.purdue.edu/people/faculty/gelvin/gelvinweb/gelvincv.pdf
BARBARA ,L. GOLDEN,W,Biological Sciences,Purdue,1993,1989,Duke University,University of Chicago,25,1,0,0,https://ag.purdue.edu/biochem/CVs/Golden%2011-11-13.pdf
MICHAEL, GRIBSKOV,M,Biological Sciences,Purdue,1985,1979,University of Wisconsin-Madison,Oregon State University,39,0,0,2,https://www.bio.purdue.edu/People/faculty_dm/directory.php?refID=175
SIDDIKA, GUZEY,W,Biological Sciences,Purdue,2010,2003,University of Minnesota,Hacettepe University,0,0,0,0,https://www.bio.purdue.edu/People/faculty_dm/directory.php?refID=1000000217
Laurie ,E. Iten,W,Biological Sciences,Purdue,1975,1971,UC Irvine,UC Irvine,0,0,0,0,https://www.bio.purdue.edu/people/faculty/faculty_files/116/cv_116.pdf
WEN ,JIANG,M,Biological Sciences,Purdue,2001,1992,Baylor College of Medicine,Peking University,10,0,0,0,https://www.bio.purdue.edu/People/faculty_dm/directory.php?refID=190
DAISUKE,KIHARA,M,Biological Sciences,Purdue,1999,1994,The University of Tokyo,Kyoto University,91,0,0,2,http://kiharalab.org/CV_DKihara_Apr2015.pdf
Murat,Acar,M,"Department of Molecular, Cellular, and Developmental Biology,",Yale,2007,2000,MIT,Bogazici University,54,1,0,1,http://www.acarlab.yale.edu/files/2011/11/Murat_CV_January-2012.pdf
Sidney,Altman,M,"Department of Molecular, Cellular, and Developmental Biology,",Yale,1967,1960,University of Colorado,MIT,47,2,0,3,https://en.wikipedia.org/wiki/Sidney_Altman
Robert ,Bazell,M,"Department of Molecular, Cellular, and Developmental Biology,",Yale,1969,1967,UC Berkeley,UC Berkeley,4,0,0,0,https://en.wikipedia.org/wiki/Robert_Bazell#cite_note-dailycalboard-4
Ronald ,Breaker,M,"Department of Molecular, Cellular, and Developmental Biology,",Yale,1992,1987,Purdue Univeristy ,University of Wisconsin-Stevens Point,118,6,2,5,http://www.biology.yale.edu/facultystaff/breaker.html
John, Carlson,M,"Department of Molecular, Cellular, and Developmental Biology,",Yale,1997,1991,University of Wisconsin-Madison,University of Minnesota-Twin Cities,238,4,4,1,http://www.educ.msu.edu/cepse/documents/schoolpsy/carlsonVita.pdf
Sreeganga ,S Chandra,W,"Department of Molecular, Cellular, and Developmental Biology,",Yale,1997,1989, Purdue University, St. Joseph's College,6,0,0,0,http://medicine.yale.edu/cnnr/people/sreeganga_chandra.profile
Damon,A Clark,M,"Department of Molecular, Cellular, and Developmental Biology,",Yale,2007,2001,Harvard University ,"Princeton University,",25,1,0,0,http://clarklab.yale.edu/sites/default/files/damonclark_cvpublic_141203.pdf
Nicole ,Kho Clay,W,"Department of Molecular, Cellular, and Developmental Biology,",Yale,2005,1996,Yale,MIT,1,0,0,0,http://www.bbs.yale.edu/people/nicole_clay.profile
Lynn ,Cooley,W,"Department of Molecular, Cellular, and Developmental Biology,",Yale,1984,1976,University of Texas, Connecticut College,30,0,0,1,http://cooley.medicine.yale.edu/people/lynn_cooley-1.profile
Craig ,Martin Crews,M,"Department of Molecular, Cellular, and Developmental Biology,",Yale,1993,1986,Univeristy of Virgina,Harvard University,1,0,0,0,http://crewslab.yale.edu/sites/default/files/imce/Crews_shortCV_updated_6_11_14.pdf
