"first_name","last_name","gender","current_age","phd_age","current_university","current_university_rank","current_university_tier","bs_university","phd_university","year_get_bs","year_get_phd","num_articles","num_peered_reviewed_articles","percent_peered_reviewed_articles","num_nature","num_cell","num_science"
"james","thomson","male",58,30,"university of wisconsin-madison",18,2,"university of illinois-urban champaign","university of pennsylvania",1981,1988,277,14,"0.0505",9,3,2
"paul","ahlquist","male",63,28,"university of wisconsin-madison",18,2,"iowa state university","university of wisconsin-madison",1976,1981,71,2,"0.0282",1,0,1
"elaine","alarid","female",54,29,"university of wisconsin-madison",18,2,"university of california-berkeley","university of california-berkeley",1985,1991,26,0,"0.0000",0,0,0
"anjon","audhya","male",42,28,"university of wisconsin-madison",18,2,"brown university","university of california-san diego",1997,2002,62,1,"0.0161",0,1,0
"david","brow","male",60,30,"university of wisconsin-madison",18,2,"university of california-santa cruz","university of california-san diego",1979,1986,24,0,"0.0000",0,0,0
"michaelã_","cox","male",65,28,"university of wisconsin-madison",18,2,"university of delaware","brandeis university",1974,1979,87,4,"0.0460",2,1,1
"vincent","cryns","male",56,27,"university of wisconsin-madison",18,2,"harvard university","harvard university",1983,1987,44,0,"0.0000",0,0,0
"dawn","davis","female",44,31,"university of wisconsin-madison",18,2,"university of wisconsin-madison","university of chicago",1995,2003,77,0,"0.0000",0,0,0
"joseph","dillard","male",52,30,"university of wisconsin-madison",18,2,"georgia institute of technology","university of alabama-birmingham",1987,1994,35,0,"0.0000",0,0,0
"timothy","donohue","male",64,28,"university of wisconsin-madison",18,2,"polytechnic institute of brooklyn","pennsylvania state university",1975,1980,65,1,"0.0154",0,0,1
"feyza","engin","female",38,29,"university of wisconsin-madison",18,2,"baylor college of medicine","istanbul university",2001,2007,9,0,"0.0000",0,0,0
"david","evans","male",47,28,"university of wisconsin-madison",18,2,"cornell university","university of wisconsin-madison",1992,1997,50,1,"0.0200",1,0,0
"amy","fowler","female",40,29,"university of wisconsin-madison",18,2,"south dakota state university","university of wisconsin-madison",1999,2005,27,0,"0.0000",0,0,0
"catherine","fox","female",47,27,"university of wisconsin-madison",18,2,"university of california-riverside","university of wisconsin-madison",1992,1996,23,0,"0.0000",0,0,0
"audrey","gasch","female",45,29,"university of wisconsin-madison",18,2,"university of wisconsin-madison","stanford university",1994,2000,42,0,"0.0000",0,0,0
"ying","ge","female",42,28,"university of wisconsin-madison",18,2,"peking university","cornell university",1997,2002,164,0,"0.0000",0,0,0
"michaelã_","gould","male",70,31,"university of wisconsin-madison",18,2,"university of wisconsin-madison","university of wisconsin-madison",1969,1977,37,0,"0.0000",0,0,0
"melissa","harrison","female",41,31,"university of wisconsin-madison",18,2,"harvard university","massachusetts institute of technology",1998,2006,18,1,"0.0556",0,0,1
"christina","hull","female",47,31,"university of wisconsin-madison",18,2,"university of utah","university of california-san francisco",1992,2000,34,1,"0.0294",1,0,0
"anna","huttenlocher","female",56,28,"university of wisconsin-madison",18,2,"oberlin college","harvard university",1983,1988,125,2,"0.0160",1,0,1
"eric","johannsen","male",50,29,"university of wisconsin-madison",18,2,"purdue university","harvard university",1989,1995,6,0,"0.0000",0,0,0
"jeffrey","johnson","male",55,31,"university of wisconsin-madison",18,2,"university of minnesota-duluth","university of wisconsin-madison",1984,1992,318,0,"0.0000",0,0,0
"joan","jorgensen","female",51,36,"university of wisconsin-madison",18,2,"university of wisconsin-madison","case western reserve university",1988,2001,14,0,"0.0000",0,0,0
"yoshihiro","kawaoka","male",61,28,"university of wisconsin-madison",18,2,"hokkaido university","hokkaido university",1978,1983,414,25,"0.0604",17,2,6
